Order_Id,Order_Date,Customer_ID,Customer_Name,Gender,Age,City,State,Platform,Category,Sub_Category,Product_Name,Unit_Price,Quantity,Discount_Percent,Discount_Amount,Final_Amount,Payment_Method,Order_Status,Delivery_Days,Rating,Brand,Cost,Profit,Profit Margin (%),Warehouse,Courier Partner,Order Priority,Return Reason
ORD114992,1/1/2024,CUST6318,Vivek Shah,Male,54,Lucknow,Uttar Pradesh,Flipkart,Grocery,Beverages,Tata Sampann Toor Dal 1kg,265.05,1,15,39.76,225.29,EMI,Delivered,4,4,Apple,155.53,69.76,30.96,Kolkata WH,Delhivery,High,Damaged
ORD113585,1/1/2024,CUST6102,Aditya Nair,Male,45,Lucknow,Uttar Pradesh,Amazon,Beauty & Personal Care,Skincare,Philips Hair Dryer,283.8,1,20,56.76,227.04,UPI,Delivered,5,5,Adidas,131.96,95.08,41.88,Mumbai WH,DTDC,Medium,No Return
ORD117858,1/1/2024,CUST3449,Aditya Shah,Male,46,Ranchi,Jharkhand,Amazon,Home & Kitchen,Furniture,Cotton Bedsheet Set,3759.16,3,20,2255.5,9021.98,Cash on Delivery,Cancelled,4.381534772,4,HP,5132.45,3889.53,43.11,Kolkata WH,Blue Dart,Medium,Late Delivery
ORD119084,1/2/2024,CUST2848,Sunita Chauhan,Female,58,Kolkata,West Bengal,Amazon,Books,Children's Books,NCERT Class 10 Set,782.97,2,10,156.59,1409.35,Debit Card,Delivered,5,5,Adidas,1116.79,292.56,20.76,Bengaluru WH,Delhivery,High,No Return
ORD114989,1/2/2024,CUST8037,Anita Sen,Female,22,Chennai,Tamil Nadu,Myntra,Beauty & Personal Care,Skincare,Wild Stone Perfume,1070.56,4,0,0,4282.24,Cash on Delivery,Delivered,5,3,Boat,2355.83,1926.41,44.99,Delhi WH,Delhivery,Low,Late Delivery
ORD108643,1/2/2024,CUST7280,Siddharth Reddy,Male,34,Patna,Bihar,Amazon,Home & Kitchen,Furniture,Non-Stick Pan Set,724.05,1,5,36.2,687.85,Cash on Delivery,Cancelled,4.381534772,4,Apple,473.07,214.78,31.22,Bengaluru WH,Delhivery,Low,No Return
ORD117746,1/2/2024,CUST4485,Meena Das,Female,53,Noida,Uttar Pradesh,Ajio,Electronics,Laptops,iQOO Z7,978.33,3,30,880.5,2054.49,Debit Card,Delivered,5,4,HP,1566.55,487.94,23.75,Mumbai WH,Ekart,Low,No Return
ORD111747,1/2/2024,CUST1046,Anjali Singh,Female,19,Visakhapatnam,Andhra Pradesh,Flipkart,Electronics,Smartwatches,Dell Inspiron 14,818.91,1,20,163.78,655.13,UPI,Delivered,4,2,Apple,384.04,271.09,41.38,Kolkata WH,DTDC,Medium,Late Delivery
ORD119195,1/2/2024,CUST1670,Vikram Iyer,Male,50,Ranchi,Jharkhand,Ajio,Sports & Fitness,Cycles,Cricket Bat - Kashmir Willow,3821.81,1,15,573.27,3248.54,Debit Card,Delivered,5,4,Dell,2565.64,682.9,21.02,Mumbai WH,Ekart,Medium,Damaged
ORD116655,1/2/2024,CUST2121,Priya Roy,Female,48,Kolkata,West Bengal,Myntra,Fashion,Ethnic Wear,Saree - Banarasi Silk,3174.9,1,0,0,3174.9,Debit Card,Delivered,10,5,Samsung,1865.48,1309.42,41.24,Delhi WH,Ekart,Medium,No Return
ORD116804,1/2/2024,CUST2908,Siddharth Chauhan,Male,35,Vadodara,Gujarat,Snapdeal,Grocery,Beverages,Amul Ghee 500ml,490.61,3,20,294.37,1177.46,Cash on Delivery,Delivered,10,4,Boat,906.2,271.26,23.04,Delhi WH,DTDC,High,Late Delivery
ORD104989,1/2/2024,CUST4976,Kirti Bose,Female,42,Chandigarh,Chandigarh,Flipkart,Beauty & Personal Care,Haircare,Beardo Trimmer,1342.54,3,10,402.76,3624.86,Credit Card,Delivered,2,5,Nike,2999.46,625.4,17.25,Kolkata WH,Blue Dart,Medium,Late Delivery
ORD118767,1/2/2024,CUST2856,Nikhil Shah,Male,28,Chennai,Tamil Nadu,Amazon,Grocery,Dairy,Tata Sampann Toor Dal 1kg,302.94,1,20,60.59,242.35,EMI,Delivered,4,4,Adidas,184.97,57.38,23.68,Bengaluru WH,DTDC,High,Wrong Item
ORD112889,1/2/2024,CUST6052,Amit Chatterjee,Male,49,Pune,Maharashtra,Meesho,Fashion,Kids Wear,Ethnic Kurti Set,3968.63,1,30,1190.59,2778.04,Credit Card,Delivered,7,5,HP,2352.57,425.47,15.32,Kolkata WH,Delhivery,Medium,No Return
ORD118965,1/2/2024,CUST6388,Siddharth Sen,Male,18,Bhopal,Madhya Pradesh,Amazon,Grocery,Snacks,Bru Coffee 200g,162.51,1,10,16.25,146.26,Cash on Delivery,Returned,7,1,Nike,86.28,59.98,41.01,Bengaluru WH,Blue Dart,Medium,Late Delivery
ORD103919,1/2/2024,CUST3743,Simran Bose,Female,23,Mumbai,Maharashtra,Meesho,Fashion,Men's Clothing,Kids T-Shirt Combo,1844.64,1,10,184.46,1660.18,UPI,Cancelled,4.381534772,4,HP,1148.78,511.4,30.8,Bengaluru WH,DTDC,High,Late Delivery
ORD117861,1/2/2024,CUST2239,Ankit Yadav,Male,45,Coimbatore,Tamil Nadu,Snapdeal,Fashion,Kids Wear,Sneakers,3851.19,1,20,770.24,3080.95,UPI,Returned,2,3,Boat,2282.29,798.66,25.92,Delhi WH,Blue Dart,High,No Return
ORD103624,1/2/2024,CUST4506,Vikram Das,Male,52,Noida,Uttar Pradesh,Flipkart,Fashion,Ethnic Wear,Ethnic Kurti Set,3198.36,1,20,639.67,2558.69,Cash on Delivery,Delivered,7,2,Nike,2120.73,437.96,17.12,Bengaluru WH,Blue Dart,Low,No Return
ORD108856,1/2/2024,CUST5509,Kirti Mukherjee,Female,58,Kanpur,Uttar Pradesh,Myntra,Books,Fiction,The Alchemist,135.01,2,0,0,270.02,Cash on Delivery,Delivered,7,3,Nike,149.09,120.93,44.79,Delhi WH,Ekart,Low,Wrong Item
ORD110182,1/2/2024,CUST3221,Deepak Singh,Male,34,Jaipur,Rajasthan,Amazon,Books,Self-Help,NCERT Class 10 Set,320.22,2,30,192.13,448.31,Cash on Delivery,Cancelled,4.381534772,4,HP,286.11,162.2,36.18,Mumbai WH,Ekart,High,Damaged
ORD119761,1/2/2024,CUST6113,Nisha Reddy,Female,28,Kolkata,West Bengal,Ajio,Electronics,Mobiles,Noise ColorFit Pulse,18536.1,1,10,1853.61,16682.49,Cash on Delivery,Returned,3,2,Boat,10368.72,6313.77,37.85,Bengaluru WH,Blue Dart,Low,Late Delivery
ORD114145,1/2/2024,CUST4437,Kavita Shah,Female,39,Bhubaneswar,Odisha,Amazon,Electronics,Mobiles,OnePlus Nord CE3,7574.68,2,10,1514.94,13634.42,UPI,Delivered,3,4,Samsung,11559.37,2075.05,15.22,Kolkata WH,Ekart,Medium,Damaged
ORD106817,1/2/2024,CUST2766,Riya Roy,Female,19,Indore,Madhya Pradesh,Amazon,Home & Kitchen,Home Decor,LED Table Lamp,620.37,2,10,124.07,1116.67,Credit Card,Delivered,3,3,Adidas,793.92,322.75,28.9,Delhi WH,Blue Dart,High,No Return
ORD114099,1/3/2024,CUST8534,Payal Nair,Female,47,Bengaluru,Karnataka,Amazon,Beauty & Personal Care,Makeup,Wild Stone Perfume,1154.25,2,20,461.7,1846.8,Credit Card,Cancelled,4.381534772,4,Nike,1359.65,487.15,26.38,Kolkata WH,Ekart,Medium,Late Delivery
ORD103409,1/3/2024,CUST2321,Deepak Verma,Male,45,Noida,Uttar Pradesh,Myntra,Electronics,Cameras,Noise ColorFit Pulse,2311.5,1,40,924.6,1386.9,UPI,Delivered,3,1,Adidas,1072.96,313.94,22.64,Bengaluru WH,Ekart,Low,Wrong Item
ORD111063,1/3/2024,CUST1244,Nikhil Shah,Male,43,Coimbatore,Tamil Nadu,Amazon,Books,Self-Help,Sapiens,848.86,2,20,339.54,1358.18,Credit Card,Cancelled,4.381534772,4,Dell,843.05,515.13,37.93,Mumbai WH,Delhivery,High,Wrong Item
ORD115703,1/3/2024,CUST5846,Vivek Roy,Male,43,Kolkata,West Bengal,Amazon,Sports & Fitness,Yoga Accessories,Cosco Football,1166.24,2,20,466.5,1865.98,Debit Card,Delivered,4,4,Dell,1457.77,408.21,21.88,Delhi WH,Blue Dart,Low,No Return
ORD115545,1/3/2024,CUST1517,Sanjay Patel,Male,23,Bhopal,Madhya Pradesh,Flipkart,Books,Non-Fiction,Sapiens,636.89,1,20,127.38,509.51,UPI,Delivered,7,4,HP,304.71,204.8,40.2,Delhi WH,Blue Dart,Low,Late Delivery
ORD116642,1/3/2024,CUST7247,Rohan Roy,Male,23,Coimbatore,Tamil Nadu,Flipkart,Electronics,Smartwatches,OnePlus Nord CE3,2860.71,3,5,429.11,8153.02,Credit Card,Returned,5,2,Apple,5035.76,3117.26,38.23,Mumbai WH,Ekart,Low,Late Delivery
ORD110756,1/3/2024,CUST7059,Simran Reddy,Female,59,Surat,Gujarat,Meesho,Fashion,Ethnic Wear,Sneakers,1725.81,2,10,345.16,3106.46,Cash on Delivery,Delivered,10,3,Apple,1978.01,1128.45,36.33,Kolkata WH,DTDC,High,Damaged
ORD104699,1/3/2024,CUST5518,Divya Gupta,Female,50,Thiruvananthapuram,Kerala,Flipkart,Fashion,Women's Clothing,Saree - Banarasi Silk,435.12,1,10,43.51,391.61,Credit Card,Returned,7,2,Samsung,298.74,92.87,23.71,Bengaluru WH,Delhivery,Low,No Return
ORD116244,1/3/2024,CUST4431,Sourav Shah,Male,42,Mumbai,Maharashtra,Amazon,Books,Academic,NCERT Class 10 Set,163.21,1,20,32.64,130.57,EMI,Delivered,4,5,Dell,95.73,34.84,26.68,Mumbai WH,Delhivery,Low,Damaged
ORD110536,1/3/2024,CUST2973,Nikhil Chatterjee,Male,48,Delhi,Delhi,Myntra,Home & Kitchen,Kitchen Appliances,Non-Stick Pan Set,1306.91,1,0,0,1306.91,UPI,Delivered,6,3,Nike,749.47,557.44,42.65,Delhi WH,DTDC,Medium,Damaged
ORD114272,1/3/2024,CUST3555,Sanjay Gupta,Male,18,Thiruvananthapuram,Kerala,Meesho,Home & Kitchen,Furniture,Storage Rack,1279.41,4,15,767.65,4349.99,Cash on Delivery,Delivered,3,5,Apple,3312.53,1037.46,23.85,Mumbai WH,DTDC,Low,Damaged
ORD118112,1/3/2024,CUST6051,Anjali Chatterjee,Female,53,Thiruvananthapuram,Kerala,Flipkart,Electronics,Tablets,HP Pavilion 15,1162.35,3,40,1394.82,2092.23,Net Banking,Delivered,1,5,HP,1262.32,829.91,39.67,Delhi WH,DTDC,High,Damaged
ORD102145,1/3/2024,CUST4236,Karan Kumar,Male,44,Patna,Bihar,Meesho,Books,Non-Fiction,Sapiens,320.75,5,20,320.75,1283,Debit Card,Delivered,6,2,Adidas,1073.99,209.01,16.29,Kolkata WH,Delhivery,Low,Wrong Item
ORD106214,1/3/2024,CUST2755,Rajesh Chauhan,Male,28,Thiruvananthapuram,Kerala,Ajio,Beauty & Personal Care,Makeup,Lakme Kajal,345.69,1,5,17.28,328.41,Debit Card,Delivered,5,4,Boat,242.36,86.05,26.2,Mumbai WH,DTDC,Low,Damaged
ORD104363,1/4/2024,CUST1831,Neha Sen,Female,19,Ahmedabad,Gujarat,Flipkart,Sports & Fitness,Yoga Accessories,Adjustable Dumbbells Set,5401.14,1,15,810.17,4590.97,UPI,Cancelled,4.381534772,4,Apple,3327.64,1263.33,27.52,Delhi WH,Ekart,Low,Damaged
ORD106488,1/4/2024,CUST7398,Sunita Kumar,Female,33,Patna,Bihar,Meesho,Beauty & Personal Care,Fragrances,Mamaearth Face Wash,388.71,2,0,0,777.42,UPI,Delivered,4,2,Adidas,429.2,348.22,44.79,Delhi WH,Blue Dart,Medium,Wrong Item
ORD101613,1/4/2024,CUST3915,Kavita Reddy,Female,57,Patna,Bihar,Flipkart,Fashion,Women's Clothing,Cotton Kurta,1268.38,1,20,253.68,1014.7,Cash on Delivery,Delivered,3,5,Adidas,804.86,209.84,20.68,Mumbai WH,Blue Dart,Medium,Late Delivery
ORD105994,1/4/2024,CUST7500,Sunita Chatterjee,Female,57,Delhi,Delhi,Myntra,Electronics,Smartwatches,Samsung Galaxy M14,7173.95,1,10,717.4,6456.55,UPI,Delivered,7,5,Dell,5333.53,1123.02,17.39,Delhi WH,DTDC,Low,No Return
ORD104683,1/4/2024,CUST8013,Ritu Patel,Female,34,Guwahati,Assam,Flipkart,Fashion,Women's Clothing,Saree - Banarasi Silk,3845.77,1,15,576.87,3268.9,Debit Card,Returned,8,2,Dell,2113.51,1155.39,35.34,Mumbai WH,Delhivery,Medium,No Return
ORD119167,1/4/2024,CUST7488,Anjali Chatterjee,Female,51,Delhi,Delhi,Meesho,Beauty & Personal Care,Makeup,Dove Shampoo 650ml,106.92,1,30,32.08,74.84,Cash on Delivery,Returned,4,1,Apple,55.78,19.06,25.47,Bengaluru WH,DTDC,Medium,Late Delivery
ORD110326,1/4/2024,CUST1824,Ankit Patel,Male,51,Vadodara,Gujarat,Flipkart,Books,Fiction,Wings of Fire,181.21,1,15,27.18,154.03,Cash on Delivery,Delivered,3,5,Boat,115.96,38.07,24.72,Mumbai WH,Delhivery,Medium,Damaged
ORD114471,1/4/2024,CUST6849,Nikhil Iyer,Male,52,Bhubaneswar,Odisha,Amazon,Grocery,Staples,Haldiram Bhujia 400g,651.71,3,10,195.51,1759.62,UPI,Delivered,2,3,Adidas,1351.51,408.11,23.19,Bengaluru WH,Delhivery,High,Wrong Item
ORD113793,1/4/2024,CUST8747,Nisha Gupta,Female,22,Bhopal,Madhya Pradesh,Flipkart,Sports & Fitness,Fitness Equipment,Hero Sprint Cycle,3015.6,1,40,1206.24,1809.36,Cash on Delivery,Delivered,6,4,Boat,1497.46,311.9,17.24,Bengaluru WH,DTDC,Low,No Return
ORD104169,1/4/2024,CUST4725,Ritu Nair,Female,25,Bengaluru,Karnataka,Meesho,Fashion,Footwear,Slim Fit Jeans,702.26,4,30,842.71,1966.33,Credit Card,Delivered,2,3,Samsung,1345.66,620.67,31.56,Mumbai WH,DTDC,Medium,Wrong Item
ORD115739,1/4/2024,CUST3823,Neha Sen,Female,55,Lucknow,Uttar Pradesh,Ajio,Books,Non-Fiction,Wings of Fire,231.03,1,30,69.31,161.72,UPI,Delivered,3,4,HP,128.32,33.4,20.65,Kolkata WH,Delhivery,Low,Wrong Item
ORD100351,1/4/2024,CUST6734,Nisha Chauhan,Female,18,Indore,Madhya Pradesh,Meesho,Grocery,Dairy,Bru Coffee 200g,211.93,1,30,63.58,148.35,Cash on Delivery,Delivered,10,3,Adidas,115.74,32.61,21.98,Mumbai WH,Delhivery,Low,Wrong Item
ORD118605,1/4/2024,CUST2125,Nikhil Iyer,Male,52,Thiruvananthapuram,Kerala,Amazon,Sports & Fitness,Yoga Accessories,Cricket Bat - Kashmir Willow,811.39,1,10,81.14,730.25,UPI,Returned,2,1,Dell,560.59,169.66,23.23,Bengaluru WH,Delhivery,Low,No Return
ORD111177,1/4/2024,CUST7004,Nisha Chauhan,Female,22,Hyderabad,Telangana,Flipkart,Grocery,Snacks,Aashirvaad Atta 5kg,281.13,3,30,253.02,590.37,Net Banking,Returned,6,1,Boat,391.18,199.19,33.74,Delhi WH,Delhivery,Medium,Damaged
ORD103744,1/4/2024,CUST5279,Ankit Banerjee,Male,34,Chennai,Tamil Nadu,Meesho,Home & Kitchen,Cookware,Milton Water Bottle,308.87,1,15,46.33,262.54,UPI,Delivered,5,3,Adidas,205.26,57.28,21.82,Kolkata WH,Delhivery,High,Late Delivery
ORD103651,1/4/2024,CUST6270,Vikram Reddy,Male,33,Guwahati,Assam,Flipkart,Beauty & Personal Care,Haircare,Philips Hair Dryer,1538.42,3,10,461.53,4153.73,Debit Card,Delivered,4,2,HP,3243.08,910.65,21.92,Kolkata WH,DTDC,Medium,Late Delivery
ORD108362,1/4/2024,CUST2719,Rajesh Roy,Male,25,Vadodara,Gujarat,Amazon,Beauty & Personal Care,Fragrances,Philips Hair Dryer,158.84,1,30,47.65,111.19,UPI,Cancelled,4.381534772,4,Adidas,82.87,28.32,25.47,Mumbai WH,DTDC,Low,Wrong Item
ORD119835,1/4/2024,CUST6859,Nikhil Shah,Male,47,Kolkata,West Bengal,Flipkart,Electronics,Tablets,Realme Buds Air 3,3246.3,1,20,649.26,2597.04,UPI,Delivered,3,2,Apple,1519.05,1077.99,41.51,Delhi WH,Delhivery,High,No Return
ORD111381,1/4/2024,CUST7908,Ritu Patel,Female,58,Mumbai,Maharashtra,Ajio,Home & Kitchen,Furniture,Cotton Bedsheet Set,1294.77,1,50,647.38,647.39,UPI,Delivered,4,5,Boat,505.13,142.26,21.97,Kolkata WH,DTDC,High,Late Delivery
ORD105467,1/5/2024,CUST6313,Kirti Mukherjee,Female,19,Bengaluru,Karnataka,Amazon,Electronics,Smartwatches,iQOO Z7,24450.75,4,40,39121.2,58681.8,Net Banking,Cancelled,4.381534772,4,Apple,35488.88,23192.92,39.52,Kolkata WH,Blue Dart,Medium,Wrong Item
ORD103871,1/5/2024,CUST4990,Pranav Sen,Male,20,Kanpur,Uttar Pradesh,Meesho,Fashion,Ethnic Wear,Leather Sandals,873.18,1,15,130.98,742.2,UPI,Delivered,7,1,HP,513.71,228.49,30.79,Bengaluru WH,DTDC,High,Damaged
ORD100460,1/5/2024,CUST7166,Shreya Banerjee,Female,60,Visakhapatnam,Andhra Pradesh,Amazon,Fashion,Ethnic Wear,Slim Fit Jeans,412.65,1,40,165.06,247.59,Cash on Delivery,Delivered,5,4,Adidas,174.09,73.5,29.69,Delhi WH,Ekart,Medium,Late Delivery
ORD114700,1/5/2024,CUST5390,Karan Verma,Male,24,Bhubaneswar,Odisha,Myntra,Electronics,Cameras,Dell Inspiron 14,13577.47,1,30,4073.24,9504.23,Debit Card,Returned,4,3,Boat,6659.2,2845.03,29.93,Kolkata WH,Blue Dart,Medium,Wrong Item
ORD109395,1/5/2024,CUST2997,Amit Banerjee,Male,57,Gurugram,Haryana,Meesho,Electronics,Smartwatches,HP Pavilion 15,4214.29,5,30,6321.44,14750.01,UPI,Cancelled,4.381534772,4,Boat,8837.91,5912.1,40.08,Delhi WH,Delhivery,Low,Late Delivery
ORD101762,1/5/2024,CUST6954,Priya Banerjee,Female,31,Noida,Uttar Pradesh,Amazon,Fashion,Footwear,Sneakers,2950.78,1,0,0,2950.78,Credit Card,Delivered,5,5,HP,1767.61,1183.17,40.1,Kolkata WH,DTDC,Medium,No Return
ORD119327,1/5/2024,CUST2294,Meena Gupta,Female,28,Kolkata,West Bengal,Snapdeal,Fashion,Kids Wear,Running Shoes,310.37,1,20,62.07,248.3,EMI,Delivered,6,5,Dell,172.59,75.71,30.49,Mumbai WH,Ekart,Low,Damaged
ORD108235,1/5/2024,CUST7708,Shreya Nair,Female,52,Delhi,Delhi,Snapdeal,Books,Non-Fiction,Wings of Fire,126.08,1,0,0,126.08,Debit Card,Cancelled,4.381534772,4,HP,81.32,44.76,35.5,Bengaluru WH,DTDC,Medium,Wrong Item
ORD109286,1/5/2024,CUST2937,Anil Gupta,Male,43,Noida,Uttar Pradesh,Ajio,Electronics,Laptops,OnePlus Nord CE3,20022.1,1,40,8008.84,12013.26,Credit Card,Delivered,6,5,Dell,9661.6,2351.66,19.58,Bengaluru WH,Blue Dart,Low,Late Delivery
ORD107715,1/5/2024,CUST4551,Amit Bose,Male,27,Bhubaneswar,Odisha,Meesho,Fashion,Men's Clothing,Sneakers,363.83,1,20,72.77,291.06,UPI,Delivered,5,4,Dell,211.31,79.75,27.4,Kolkata WH,Ekart,Medium,Late Delivery
ORD112184,1/5/2024,CUST1518,Aarti Sen,Female,31,Nagpur,Maharashtra,Myntra,Home & Kitchen,Home Decor,Wooden Bookshelf,1235.87,1,20,247.17,988.7,UPI,Delivered,2,4,Adidas,546.22,442.48,44.75,Bengaluru WH,Blue Dart,Medium,Damaged
ORD119527,1/5/2024,CUST5182,Kavita Nair,Female,38,Guwahati,Assam,Flipkart,Beauty & Personal Care,Grooming,Himalaya Face Cream,862.23,3,10,258.67,2328.02,UPI,Returned,7,1,Boat,1933.9,394.12,16.93,Bengaluru WH,Delhivery,High,Late Delivery
ORD116132,1/5/2024,CUST8837,Isha Shah,Female,19,Jaipur,Rajasthan,Flipkart,Electronics,Laptops,iQOO Z7,47827.04,2,5,4782.7,90871.38,Cash on Delivery,Cancelled,4.381534772,4,Nike,68298.81,22572.57,24.84,Kolkata WH,DTDC,Low,Damaged
ORD103091,1/5/2024,CUST3745,Manoj Chatterjee,Male,30,Delhi,Delhi,Flipkart,Fashion,Women's Clothing,Denim Jacket,1013.59,2,5,101.36,1925.82,Cash on Delivery,Cancelled,4.381534772,4,Samsung,1120.06,805.76,41.84,Delhi WH,Ekart,High,No Return
ORD114621,1/5/2024,CUST7647,Nikhil Shah,Male,19,Nagpur,Maharashtra,Flipkart,Fashion,Ethnic Wear,Saree - Banarasi Silk,3332.4,1,20,666.48,2665.92,Net Banking,Cancelled,4.381534772,4,Nike,1663.38,1002.54,37.61,Mumbai WH,DTDC,Medium,No Return
ORD117960,1/5/2024,CUST4988,Aditya Chatterjee,Male,45,Ranchi,Jharkhand,Amazon,Sports & Fitness,Fitness Equipment,Cosco Football,12685.85,1,5,634.29,12051.56,Cash on Delivery,Delivered,2,3,Samsung,8749.15,3302.41,27.4,Mumbai WH,Ekart,Medium,No Return
ORD112704,1/6/2024,CUST5780,Pranav Sharma,Male,37,Ahmedabad,Gujarat,Flipkart,Sports & Fitness,Fitness Equipment,Adjustable Dumbbells Set,4503.23,3,0,0,13509.69,Debit Card,Delivered,6,5,HP,10158.07,3351.62,24.81,Bengaluru WH,DTDC,High,Damaged
ORD119230,1/6/2024,CUST5598,Payal Bose,Female,40,Bengaluru,Karnataka,Amazon,Fashion,Footwear,Formal Shirt,2183.07,3,0,0,6549.21,Debit Card,Returned,7,1,HP,5385.08,1164.13,17.78,Bengaluru WH,Ekart,High,Damaged
ORD103657,1/6/2024,CUST4595,Ritu Mukherjee,Female,39,Guwahati,Assam,Meesho,Grocery,Beverages,Fortune Sunflower Oil 1L,131.98,1,40,52.79,79.19,UPI,Delivered,3,4,Nike,55.33,23.86,30.13,Kolkata WH,Blue Dart,High,Damaged
ORD115431,1/6/2024,CUST4970,Sneha Sharma,Female,43,Bhubaneswar,Odisha,Ajio,Home & Kitchen,Bedding,LED Table Lamp,2699.72,1,20,539.94,2159.78,EMI,Delivered,5,5,Nike,1696.56,463.22,21.45,Kolkata WH,Blue Dart,Low,No Return
ORD111412,1/6/2024,CUST7833,Isha Roy,Female,32,Delhi,Delhi,Amazon,Electronics,Headphones,Canon EOS 1500D,4995.89,3,0,0,14987.67,UPI,Delivered,5,3,Dell,9750.1,5237.57,34.95,Mumbai WH,Ekart,High,No Return
ORD102875,1/6/2024,CUST3751,Rahul Sharma,Male,21,Hyderabad,Telangana,Myntra,Electronics,Headphones,Redmi Note 13,24736.08,2,20,9894.43,39577.73,UPI,Delivered,2,5,Dell,32568.11,7009.62,17.71,Delhi WH,Delhivery,Medium,No Return
ORD101278,1/6/2024,CUST4385,Kavita Mukherjee,Female,35,Surat,Gujarat,Flipkart,Electronics,Mobiles,OnePlus Nord CE3,61296.27,1,10,6129.63,55166.64,EMI,Delivered,3,4,Samsung,41560.06,13606.58,24.66,Mumbai WH,DTDC,Medium,No Return
ORD110726,1/6/2024,CUST4665,Nisha Singh,Female,56,Mumbai,Maharashtra,Flipkart,Electronics,Smartwatches,OnePlus Nord CE3,4533.49,4,20,3626.79,14507.17,UPI,Returned,6,2,Samsung,9434.64,5072.53,34.97,Bengaluru WH,DTDC,Medium,Late Delivery
ORD113171,1/6/2024,CUST2240,Suresh Roy,Male,19,Patna,Bihar,Myntra,Sports & Fitness,Yoga Accessories,Cricket Bat - Kashmir Willow,1985.04,2,5,198.5,3771.58,Debit Card,Delivered,10,5,Boat,2931.81,839.77,22.27,Delhi WH,Blue Dart,Medium,Damaged
